trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
1153,2019-11-13 18:46:00,26387.0,1,1,22966.600000000002,-420.0,-1060.0,290.0,2019-11-13 19:23:00,26378.0,model_exit,4592900.0
1154,2019-11-13 19:24:00,26377.0,1,1,22964.5,-20.0,-110.0,40.0,2019-11-13 19:28:00,26385.0,model_exit,4592880.0
1155,2019-11-13 19:29:00,26381.0,1,1,22964.4,-70.0,-260.0,490.0,2019-11-13 19:46:00,26384.0,model_exit,4592810.0
1156,2019-11-13 19:47:00,26386.0,1,1,22964.05,-120.0,-120.0,240.0,2019-11-13 19:51:00,26382.0,model_exit,4592690.0
1157,2019-11-13 19:52:00,26385.0,1,1,22963.45,80.0,-160.0,440.0,2019-11-13 20:04:00,26386.0,model_exit,4592770.0
1158,2019-11-13 20:05:00,26384.0,1,1,22963.850000000002,1380.0,-360.0,1440.0,2019-11-13 20:51:00,26421.0,model_exit,4594150.0
1159,2019-11-13 20:52:00,26423.0,-1,1,22970.75,-70.0,-160.0,0.0,2019-11-13 20:55:00,26421.0,model_exit,4594080.0
1160,2019-11-13 20:56:00,26412.0,1,1,22970.4,-570.0,-570.0,0.0,2019-11-13 20:57:00,26415.0,model_exit,4593510.0
1161,2019-11-13 20:58:00,26410.0,1,1,22967.55,-1420.0,-2210.0,340.0,2019-11-13 22:02:00,26385.0,model_exit,4592090.0
1162,2019-11-13 22:03:00,26387.0,-1,1,22960.45,-220.0,-220.0,0.0,2019-11-13 22:04:00,26387.0,model_exit,4591870.0
1163,2019-11-13 22:05:00,26384.0,-1,1,22959.350000000002,-70.0,-70.0,290.0,2019-11-13 22:08:00,26383.0,model_exit,4591800.0
1164,2019-11-13 22:09:00,26384.0,-1,1,22959.0,-170.0,-170.0,0.0,2019-11-13 22:10:00,26377.0,model_exit,4591630.0
1165,2019-11-13 22:11:00,26374.0,-1,1,22958.15,30.0,0.0,90.0,2019-11-13 22:12:00,26373.0,model_exit,4591660.0
1166,2019-11-13 22:13:00,26374.0,1,1,22958.3,730.0,-110.0,840.0,2019-11-13 22:33:00,26395.0,model_exit,4592390.0
1167,2019-11-13 22:34:00,26419.0,-1,1,22961.95,-1320.0,-1320.0,0.0,2019-11-13 22:35:00,26428.0,model_exit,4591070.0
1168,2019-11-13 22:36:00,26421.0,-1,1,22955.350000000002,180.0,0.0,290.0,2019-11-13 22:38:00,26422.0,model_exit,4591250.0
1169,2019-11-13 22:39:00,26419.0,1,1,22956.25,-470.0,-560.0,0.0,2019-11-13 22:44:00,26410.0,model_exit,4590780.0
1170,2019-11-13 22:45:00,26411.0,1,1,22953.9,-320.0,-960.0,340.0,2019-11-13 22:59:00,26412.0,model_exit,4590460.0
1171,2019-11-13 23:00:00,26409.0,1,1,22952.3,-270.0,-270.0,0.0,2019-11-13 23:01:00,26419.0,model_exit,4590190.0
1172,2019-11-13 23:02:00,26425.0,1,1,22950.95,180.0,0.0,240.0,2019-11-13 23:03:00,26420.0,model_exit,4590370.0
1173,2019-11-13 23:04:00,26424.0,-1,1,22951.850000000002,-320.0,-320.0,0.0,2019-11-13 23:05:00,26430.0,model_exit,4590050.0
1174,2019-11-13 23:06:00,26430.0,1,1,22950.25,-120.0,-120.0,0.0,2019-11-13 23:07:00,26431.0,model_exit,4589930.0
1175,2019-11-13 23:08:00,26428.0,1,1,22949.65,180.0,-210.0,240.0,2019-11-13 23:14:00,26437.0,model_exit,4590110.0
1176,2019-11-13 23:15:00,26441.0,1,1,22950.55,580.0,-60.0,690.0,2019-11-13 23:22:00,26446.0,model_exit,4590690.0
1177,2019-11-13 23:23:00,26449.0,-1,1,22953.45,-270.0,-270.0,0.0,2019-11-13 23:24:00,26448.0,model_exit,4590420.0
1178,2019-11-13 23:25:00,26444.0,-1,1,22952.100000000002,30.0,0.0,140.0,2019-11-13 23:27:00,26451.0,model_exit,4590450.0
1179,2019-11-13 23:28:00,26458.0,-1,1,22952.25,430.0,-710.0,490.0,2019-11-13 23:35:00,26439.0,model_exit,4590880.0
1180,2019-11-13 23:36:00,26441.0,1,1,22954.4,980.0,0.0,1040.0,2019-11-13 23:39:00,26484.0,model_exit,4591860.0
1181,2019-11-13 23:41:00,26472.0,-1,1,22959.3,-120.0,-120.0,0.0,2019-11-13 23:42:00,26471.0,model_exit,4591740.0
1182,2019-11-13 23:43:00,26471.0,1,1,22958.7,530.0,-160.0,590.0,2019-11-13 23:47:00,26478.0,model_exit,4592270.0
1183,2019-11-13 23:48:00,26472.0,-1,1,22961.350000000002,80.0,0.0,240.0,2019-11-13 23:50:00,26477.0,model_exit,4592350.0
1184,2019-11-13 23:52:00,26478.0,-1,1,22961.75,-270.0,-270.0,0.0,2019-11-13 23:53:00,26487.0,model_exit,4592080.0
1185,2019-11-13 23:55:00,26481.0,-1,1,22960.4,-370.0,-370.0,0.0,2019-11-13 23:56:00,26479.0,model_exit,4591710.0
