trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
683,2019-12-03 15:49:00,26470.0,1,5,30117.75,15150.0,0.0,15450.0,2019-12-03 15:50:00,26401.0,model_exit,6038700.0
684,2019-12-03 15:51:00,26402.0,1,5,30193.5,-3100.0,-3100.0,0.0,2019-12-03 15:55:00,26396.0,model_exit,6035600.0
685,2019-12-03 15:56:00,26396.0,1,5,30178.0,150.0,-300.0,700.0,2019-12-03 16:00:00,26415.0,model_exit,6035750.0
686,2019-12-03 16:02:00,26417.0,1,5,30178.75,-6350.0,-6350.0,1950.0,2019-12-03 16:08:00,26391.0,model_exit,6029400.0
687,2019-12-03 16:09:00,26404.0,1,5,30147.0,4150.0,0.0,4450.0,2019-12-03 16:11:00,26420.0,model_exit,6033550.0
688,2019-12-03 16:13:00,26417.0,1,5,30167.75,-350.0,-350.0,0.0,2019-12-03 16:15:00,26416.0,model_exit,6033200.0
689,2019-12-03 16:16:00,26417.0,1,5,30166.0,-4100.0,-4100.0,0.0,2019-12-03 16:20:00,26408.0,model_exit,6029100.0
690,2019-12-03 16:24:00,26407.0,1,5,30145.5,-1850.0,-1850.0,0.0,2019-12-03 16:25:00,26396.0,model_exit,6027250.0
691,2019-12-03 16:26:00,26403.0,1,5,30136.25,-100.0,-100.0,1450.0,2019-12-03 16:28:00,26398.0,model_exit,6027150.0
692,2019-12-03 16:29:00,26381.0,1,5,30135.75,-98850.0,-98850.0,0.0,2019-12-04 09:16:00,26009.0,stop_loss,5928300.0
693,2019-12-04 09:38:00,26179.0,1,5,29641.5,-2350.0,-3050.0,0.0,2019-12-04 09:41:00,26173.0,model_exit,5925950.0
694,2019-12-04 09:42:00,26182.0,1,5,29629.75,1650.0,0.0,1950.0,2019-12-04 09:43:00,26176.0,model_exit,5927600.0
695,2019-12-04 09:44:00,26158.0,1,5,29638.0,-5100.0,-5100.0,0.0,2019-12-04 09:45:00,26167.0,model_exit,5922500.0
696,2019-12-04 09:46:00,26133.0,1,5,29612.5,-18350.0,-18350.0,0.0,2019-12-04 09:50:00,26093.0,model_exit,5904150.0
